iter	Passed	Remaining
0	1	135
1	2	125
2	3	116
3	4	107
4	5	106
5	6	103
6	7	102
7	8	101
8	9	100
9	10	98
10	12	97
11	13	97
12	14	96
13	15	95
14	16	95
15	17	94
16	19	94
17	20	93
18	21	93
19	23	93
20	24	92
21	25	91
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	36	84
30	37	83
31	38	82
32	40	81
33	41	80
34	42	79
35	43	78
36	45	77
37	46	75
38	47	74
39	49	73
40	50	72
41	50	70
42	52	68
43	53	67
44	54	66
45	55	65
46	56	64
47	58	62
48	59	61
49	60	60
50	61	59
51	62	58
52	64	56
53	65	55
54	66	54
55	67	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	46
61	74	45
62	75	44
63	76	43
64	78	42
65	79	40
66	80	39
67	81	38
68	82	37
69	83	35
70	85	34
71	86	33
72	87	32
73	88	31
74	89	29
75	91	28
76	92	27
77	93	26
78	94	25
79	96	24
80	97	22
81	98	21
82	99	20
83	100	19
84	102	18
85	103	16
86	104	15
87	105	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	113	7
94	114	6
95	115	4
96	116	3
97	117	2
98	119	1
99	120	0
